XA1, XA2, YA1, YA2, UTFA, FILENAME, XB1, XB2, YB1, YB2, IoU, 
1954, 2032, 8, 91, 96d6, navis-Ming-Qing_19686_0028-line-002-y1=78-y2=179.xml, 1957, 2029, 9, 88, 0.87859128823, 
1879, 1946, 13, 87, 751f, navis-Ming-Qing_19686_0028-line-002-y1=78-y2=179.xml, 1882, 1944, 14, 84, 0.875352964905, 
1879, 1945, 17, 84, 751f, navis-Ming-Qing_19686_0028-line-002-y1=78-y2=179.xml, 1882, 1944, 14, 84, 0.901475694444, 
1261, 1331, 15, 101, 59ca, navis-Ming-Qing_19686_0028-line-002-y1=78-y2=179.xml, 1263, 1328, 16, 98, 0.885382059801, 
1182, 1257, 14, 93, 547c, navis-Ming-Qing_19686_0028-line-002-y1=78-y2=179.xml, 1185, 1254, 15, 90, 0.873417721519, 
1182, 1257, 17, 84, 547c, navis-Ming-Qing_19686_0028-line-002-y1=78-y2=179.xml, 1185, 1254, 15, 90, 0.828940290479, 
560, 633, 22, 101, 66f4, navis-Ming-Qing_19686_0028-line-002-y1=78-y2=179.xml, 563, 630, 23, 98, 0.871336916941, 
793, 856, 39, 84, 81ea, navis-Ming-Qing_19686_0028-line-002-y1=78-y2=179.xml, 795, 853, 40, 85, 0.882129277567, 
793, 856, 39, 88, 81ea, navis-Ming-Qing_19686_0028-line-002-y1=78-y2=179.xml, 795, 853, 40, 85, 0.845481049563, 
1565, 1643, 4, 101, 59b9, navis-Ming-Qing_19686_0028-line-002-y1=78-y2=179.xml, 1584, 1640, 5, 98, 0.68834258525, 
1565, 1643, 17, 84, 59b9, navis-Ming-Qing_19686_0028-line-002-y1=78-y2=179.xml, 1584, 1640, 5, 98, 0.56150853038, 
1105, 1173, 12, 99, 59ca, navis-Ming-Qing_19686_0028-line-003-y1=176-y2=275.xml, 1108, 1170, 13, 96, 0.86984448952, 
1105, 1173, 17, 82, 59ca, navis-Ming-Qing_19686_0028-line-003-y1=176-y2=275.xml, 1108, 1170, 13, 96, 0.727962427746, 
873, 938, 8, 92, 7d42, navis-Ming-Qing_19686_0028-line-003-y1=176-y2=275.xml, 876, 919, 9, 89, 0.630036630037, 
564, 632, 20, 82, 60df, navis-Ming-Qing_19686_0028-line-003-y1=176-y2=275.xml, 566, 629, 21, 88, 0.836525903352, 
564, 632, 20, 82, 60df, navis-Ming-Qing_19686_0028-line-003-y1=176-y2=275.xml, 566, 629, 21, 88, 0.836525903352, 
1807, 1874, 1, 87, 8a18, navis-Ming-Qing_19686_0028-line-003-y1=176-y2=275.xml, 1809, 1871, 2, 84, 0.882332523429, 
1736, 1797, 18, 82, 8a00, navis-Ming-Qing_19686_0028-line-003-y1=176-y2=275.xml, 1738, 1794, 19, 84, 0.878486055777, 
1736, 1797, 18, 85, 8a00, navis-Ming-Qing_19686_0028-line-003-y1=176-y2=275.xml, 1738, 1794, 19, 84, 0.890628823098, 
325, 395, 21, 96, 5f9e, navis-Ming-Qing_19686_0028-line-003-y1=176-y2=275.xml, 328, 392, 22, 93, 0.865523809524, 
1726, 1802, 13, 91, 70ba, navis-Ming-Qing_19686_0028-line-004-y1=272-y2=372.xml, 1728, 1799, 14, 88, 0.886302294197, 
1655, 1715, 7, 85, 6c0f, navis-Ming-Qing_19686_0028-line-004-y1=272-y2=372.xml, 1658, 1719, 7, 82, 0.85843373494, 
2262, 2332, 1, 94, 5408, navis-Ming-Qing_19686_0028-line-004-y1=272-y2=372.xml, 2265, 2329, 2, 91, 0.874961597542, 
2262, 2332, 17, 83, 5408, navis-Ming-Qing_19686_0028-line-004-y1=272-y2=372.xml, 2265, 2329, 2, 91, 0.693368351937, 
2262, 2332, 17, 83, 5408, navis-Ming-Qing_19686_0028-line-004-y1=272-y2=372.xml, 2265, 2329, 2, 91, 0.693368351937, 
960, 1022, 22, 92, 8ddd, navis-Ming-Qing_19686_0028-line-004-y1=272-y2=372.xml, 962, 1019, 23, 89, 0.866820276498, 
1966, 2030, 3, 88, 7d42, navis-Ming-Qing_19686_0028-line-004-y1=272-y2=372.xml, 1969, 2027, 4, 85, 0.863602941176, 
408, 471, 44, 83, 6708, navis-Ming-Qing_19686_0028-line-004-y1=272-y2=372.xml, 410, 468, 45, 85, 0.856587640886, 
408, 471, 44, 88, 6708, navis-Ming-Qing_19686_0028-line-004-y1=272-y2=372.xml, 410, 468, 45, 85, 0.836940836941, 
408, 471, 45, 83, 6708, navis-Ming-Qing_19686_0028-line-004-y1=272-y2=372.xml, 410, 468, 45, 85, 0.878087649402, 
1489, 1565, 11, 86, 6642, navis-Ming-Qing_19686_0028-line-004-y1=272-y2=372.xml, 1492, 1562, 12, 83, 0.871929824561, 
1489, 1565, 17, 83, 6642, navis-Ming-Qing_19686_0028-line-004-y1=272-y2=372.xml, 1492, 1562, 12, 83, 0.860976518822, 
1489, 1565, 17, 83, 6642, navis-Ming-Qing_19686_0028-line-004-y1=272-y2=372.xml, 1492, 1562, 12, 83, 0.860976518822, 
1809, 1878, 14, 90, 547c, navis-Ming-Qing_19686_0028-line-005-y1=369-y2=466.xml, 1811, 1875, 15, 87, 0.878718535469, 
1809, 1878, 17, 80, 547c, navis-Ming-Qing_19686_0028-line-005-y1=369-y2=466.xml, 1811, 1875, 15, 87, 0.819012797075, 
1893, 1956, 12, 89, 53ef, navis-Ming-Qing_19686_0028-line-005-y1=369-y2=466.xml, 1894, 1952, 13, 86, 0.872809729953, 
1893, 1956, 17, 80, 53ef, navis-Ming-Qing_19686_0028-line-005-y1=369-y2=466.xml, 1894, 1952, 13, 86, 0.803253462299, 
330, 397, 20, 80, 5176, navis-Ming-Qing_19686_0028-line-005-y1=369-y2=466.xml, 332, 394, 21, 94, 0.748363338789, 
330, 397, 20, 97, 5176, navis-Ming-Qing_19686_0028-line-005-y1=369-y2=466.xml, 332, 394, 21, 94, 0.877301802675, 
1495, 1559, 10, 93, 6b64, navis-Ming-Qing_19686_0028-line-005-y1=369-y2=466.xml, 1498, 1558, 11, 90, 0.892319277108, 
563, 632, 17, 76, 4eca, navis-Ming-Qing_19686_0028-line-005-y1=369-y2=466.xml, 565, 629, 13, 73, 0.828287497111, 
1961, 2033, 17, 81, 80fd, navis-Ming-Qing_19686_0028-line-006-y1=463-y2=561.xml, 1963, 2030, 18, 95, 0.761089073206, 
1961, 2033, 17, 98, 80fd, navis-Ming-Qing_19686_0028-line-006-y1=463-y2=561.xml, 1963, 2030, 18, 95, 0.884602194787, 
403, 470, 17, 81, 5927, navis-Ming-Qing_19686_0028-line-006-y1=463-y2=561.xml, 405, 469, 18, 95, 0.777777777778, 
403, 471, 17, 98, 5927, navis-Ming-Qing_19686_0028-line-006-y1=463-y2=561.xml, 405, 469, 18, 95, 0.894698620189, 
1573, 1649, 17, 81, 9022, navis-Ming-Qing_19686_0028-line-006-y1=463-y2=561.xml, 1575, 1647, 18, 89, 0.833823529412, 
1342, 1405, 9, 93, 5730, navis-Ming-Qing_19686_0028-line-006-y1=463-y2=561.xml, 1344, 1402, 10, 90, 0.876795162509, 
1342, 1405, 17, 81, 5730, navis-Ming-Qing_19686_0028-line-006-y1=463-y2=561.xml, 1344, 1402, 10, 90, 0.748387096774, 
1879, 1959, 17, 81, 672a, navis-Ming-Qing_19686_0028-line-006-y1=463-y2=561.xml, 1881, 1955, 12, 80, 0.849180327869, 
2110, 2179, 14, 91, 8001, navis-Ming-Qing_19686_0028-line-006-y1=463-y2=561.xml, 2113, 2184, 15, 95, 0.839216998494, 
2110, 2179, 17, 81, 8001, navis-Ming-Qing_19686_0028-line-006-y1=463-y2=561.xml, 2113, 2184, 15, 95, 0.719346049046, 
1113, 1179, 17, 74, 5176, navis-Ming-Qing_19686_0028-line-006-y1=463-y2=561.xml, 1116, 1175, 18, 90, 0.702082447939, 
1113, 1179, 17, 93, 5176, navis-Ming-Qing_19686_0028-line-006-y1=463-y2=561.xml, 1116, 1175, 18, 90, 0.846889952153, 
953, 1023, 28, 87, 80fd, navis-Ming-Qing_19686_0028-line-007-y1=558-y2=662.xml, 955, 1020, 29, 101, 0.748015873016, 
953, 1023, 28, 104, 80fd, navis-Ming-Qing_19686_0028-line-007-y1=558-y2=662.xml, 955, 1020, 29, 101, 0.87969924812, 
720, 786, 26, 78, 4eac, navis-Ming-Qing_19686_0028-line-007-y1=558-y2=662.xml, 722, 783, 27, 94, 0.705762250454, 
720, 786, 26, 78, 4eac, navis-Ming-Qing_19686_0028-line-007-y1=558-y2=662.xml, 722, 783, 27, 94, 0.705762250454, 
561, 636, 22, 103, 6700, navis-Ming-Qing_19686_0028-line-007-y1=558-y2=662.xml, 564, 635, 23, 100, 0.899917695473, 
1734, 1799, 17, 78, 99ac, navis-Ming-Qing_19686_0028-line-007-y1=558-y2=662.xml, 1736, 1798, 18, 88, 0.811341330425, 
1734, 1800, 17, 78, 99ac, navis-Ming-Qing_19686_0028-line-007-y1=558-y2=662.xml, 1736, 1798, 18, 88, 0.800688764529, 
490, 553, 17, 87, 8a9e, navis-Ming-Qing_19686_0028-line-007-y1=558-y2=662.xml, 492, 550, 18, 101, 0.766373037151, 
490, 553, 17, 104, 8a9e, navis-Ming-Qing_19686_0028-line-007-y1=558-y2=662.xml, 492, 550, 18, 101, 0.878306878307, 
1266, 1333, 19, 87, 5149, navis-Ming-Qing_19686_0028-line-007-y1=558-y2=662.xml, 1268, 1331, 20, 101, 0.776204486944, 
1188, 1256, 38, 87, 6708, navis-Ming-Qing_19686_0028-line-007-y1=558-y2=662.xml, 1191, 1252, 39, 88, 0.862953138815, 
1188, 1256, 38, 91, 6708, navis-Ming-Qing_19686_0028-line-007-y1=558-y2=662.xml, 1191, 1252, 39, 88, 0.82935627081, 
331, 394, 32, 91, 7559, navis-Ming-Qing_19686_0028-line-007-y1=558-y2=662.xml, 334, 390, 33, 88, 0.828625235405, 
333, 393, 32, 87, 7559, navis-Ming-Qing_19686_0028-line-007-y1=558-y2=662.xml, 334, 390, 33, 88, 0.901072705602, 
2042, 2118, 19, 95, 90fd, navis-Ming-Qing_19686_0028-line-008-y1=659-y2=762.xml, 2045, 2114, 20, 92, 0.860110803324, 
2043, 2118, 19, 86, 90fd, navis-Ming-Qing_19686_0028-line-008-y1=659-y2=762.xml, 2045, 2114, 20, 92, 0.837286265858, 
333, 395, 18, 86, 8863, navis-Ming-Qing_19686_0028-line-008-y1=659-y2=762.xml, 335, 392, 19, 93, 0.827518959913, 
333, 395, 18, 96, 8863, navis-Ming-Qing_19686_0028-line-008-y1=659-y2=762.xml, 335, 392, 19, 93, 0.872208436725, 
2341, 2416, 13, 95, 82b1, navis-Ming-Qing_19686_0028-line-008-y1=659-y2=762.xml, 2343, 2413, 14, 92, 0.887804878049, 
2341, 2416, 17, 86, 82b1, navis-Ming-Qing_19686_0028-line-008-y1=659-y2=762.xml, 2343, 2413, 14, 92, 0.832041343669, 
496, 556, 16, 78, 8c37, navis-Ming-Qing_19686_0028-line-008-y1=659-y2=762.xml, 498, 553, 17, 88, 0.785714285714, 
496, 556, 17, 78, 8c37, navis-Ming-Qing_19686_0028-line-008-y1=659-y2=762.xml, 498, 553, 17, 88, 0.796912114014, 
567, 644, 24, 103, 975c, navis-Ming-Qing_19686_0028-line-008-y1=659-y2=762.xml, 569, 641, 25, 100, 0.887719875062, 
568, 644, 24, 86, 975c, navis-Ming-Qing_19686_0028-line-008-y1=659-y2=762.xml, 569, 641, 25, 100, 0.767832167832, 
1182, 1256, 33, 86, 81ea, navis-Ming-Qing_19686_0028-line-008-y1=659-y2=762.xml, 1184, 1253, 34, 88, 0.883743842365, 
1182, 1256, 33, 91, 81ea, navis-Ming-Qing_19686_0028-line-008-y1=659-y2=762.xml, 1184, 1253, 34, 88, 0.868126747437, 
1970, 2032, 12, 103, 5929, navis-Ming-Qing_19686_0028-line-008-y1=659-y2=762.xml, 1973, 2036, 13, 100, 0.856928213689, 
1970, 2031, 17, 86, 5929, navis-Ming-Qing_19686_0028-line-008-y1=659-y2=762.xml, 1973, 2036, 13, 100, 0.70358649789, 
407, 475, 23, 76, 6728, navis-Ming-Qing_19686_0028-line-008-y1=659-y2=762.xml, 410, 471, 24, 90, 0.711529834006, 
407, 475, 23, 76, 6728, navis-Ming-Qing_19686_0028-line-008-y1=659-y2=762.xml, 410, 471, 24, 90, 0.711529834006, 
1035, 1102, 19, 82, 751f, navis-Ming-Qing_19686_0028-line-009-y1=759-y2=858.xml, 1038, 1099, 20, 93, 0.77309893704, 
1035, 1102, 19, 96, 751f, navis-Ming-Qing_19686_0028-line-009-y1=759-y2=858.xml, 1038, 1099, 20, 93, 0.8631517736, 
2264, 2330, 3, 92, 5168, navis-Ming-Qing_19686_0028-line-009-y1=759-y2=858.xml, 2266, 2327, 2, 89, 0.883909014322, 
2264, 2330, 17, 82, 5168, navis-Ming-Qing_19686_0028-line-009-y1=759-y2=858.xml, 2266, 2327, 2, 89, 0.704012784091, 
2042, 2110, 4, 94, 62b1, navis-Ming-Qing_19686_0028-line-009-y1=759-y2=858.xml, 2044, 2107, 5, 91, 0.885294117647, 
2042, 2109, 17, 82, 62b1, navis-Ming-Qing_19686_0028-line-009-y1=759-y2=858.xml, 2044, 2107, 5, 91, 0.721204649524, 
649, 719, 21, 82, 524d, navis-Ming-Qing_19686_0028-line-009-y1=759-y2=858.xml, 651, 716, 22, 96, 0.752895752896, 
649, 719, 21, 99, 524d, navis-Ming-Qing_19686_0028-line-009-y1=759-y2=858.xml, 651, 716, 22, 96, 0.880952380952, 
2342, 2424, 6, 92, 771f, navis-Ming-Qing_19686_0028-line-009-y1=759-y2=858.xml, 2345, 2422, 7, 90, 0.906267725468, 
2342, 2423, 17, 82, 771f, navis-Ming-Qing_19686_0028-line-009-y1=759-y2=858.xml, 2345, 2422, 7, 90, 0.752518418283, 
1269, 1339, 22, 79, 56e0, navis-Ming-Qing_19686_0028-line-009-y1=759-y2=858.xml, 1271, 1335, 23, 77, 0.866165413534, 
1269, 1339, 22, 79, 56e0, navis-Ming-Qing_19686_0028-line-009-y1=759-y2=858.xml, 1271, 1335, 23, 77, 0.866165413534, 
806, 871, 26, 82, 540C, navis-Ming-Qing_19686_0028-line-009-y1=759-y2=858.xml, 809, 867, 27, 81, 0.86043956044, 
806, 871, 26, 84, 540C, navis-Ming-Qing_19686_0028-line-009-y1=759-y2=858.xml, 809, 867, 27, 81, 0.830769230769, 
1341, 1411, 9, 98, 4eca, navis-Ming-Qing_19686_0028-line-009-y1=759-y2=858.xml, 1344, 1408, 10, 95, 0.873194221509, 
1341, 1411, 17, 82, 4eca, navis-Ming-Qing_19686_0028-line-009-y1=759-y2=858.xml, 1344, 1408, 10, 95, 0.713550600343, 
570, 647, 17, 82, 662f, navis-Ming-Qing_19686_0028-line-009-y1=759-y2=858.xml, 572, 647, 13, 86, 0.869759143622, 
799, 874, 17, 100, 59ca, navis-Ming-Qing_19686_0028-line-010-y1=855-y2=955.xml, 802, 871, 18, 97, 0.875662650602, 
412, 473, 23, 100, 548c, navis-Ming-Qing_19686_0028-line-010-y1=855-y2=955.xml, 415, 470, 24, 97, 0.854800936768, 
957, 1027, 23, 83, 97fb, navis-Ming-Qing_19686_0028-line-010-y1=855-y2=955.xml, 960, 1027, 24, 97, 0.769365511872, 
957, 1029, 23, 100, 97fb, navis-Ming-Qing_19686_0028-line-010-y1=855-y2=955.xml, 960, 1027, 24, 97, 0.882215007215, 
564, 634, 20, 83, 82b3, navis-Ming-Qing_19686_0028-line-010-y1=855-y2=955.xml, 567, 631, 21, 90, 0.816797035817, 
564, 635, 20, 83, 82b3, navis-Ming-Qing_19686_0028-line-010-y1=855-y2=955.xml, 567, 631, 21, 90, 0.806340174761, 
564, 635, 20, 94, 82b3, navis-Ming-Qing_19686_0028-line-010-y1=855-y2=955.xml, 567, 631, 21, 90, 0.840502474305, 
875, 954, 27, 83, 96c6, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 878, 951, 28, 97, 0.737238340066, 
875, 954, 27, 83, 96c6, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 878, 951, 28, 97, 0.737238340066, 
875, 954, 27, 100, 96c6, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 878, 951, 28, 97, 0.873417721519, 
1574, 1658, 15, 70, 9752, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 1576, 1654, 16, 90, 0.681553398058, 
1574, 1658, 17, 69, 9752, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 1576, 1654, 16, 90, 0.666666666667, 
1574, 1658, 17, 70, 9752, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 1576, 1654, 16, 90, 0.67881773399, 
2335, 2420, 4, 98, 6771, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 2337, 2417, 5, 95, 0.90112640801, 
2335, 2420, 17, 83, 6771, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 2337, 2417, 5, 95, 0.701195219124, 
2335, 2420, 17, 83, 6771, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 2337, 2417, 5, 95, 0.701195219124, 
728, 792, 23, 83, 7a7a, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 731, 789, 24, 87, 0.840373280943, 
728, 792, 24, 83, 7a7a, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 731, 789, 24, 87, 0.85379241517, 
412, 477, 15, 97, 773c, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 415, 474, 16, 94, 0.863414634146, 
412, 477, 17, 83, 773c, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 415, 474, 16, 94, 0.779111644658, 
412, 477, 17, 83, 773c, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 415, 474, 16, 94, 0.779111644658, 
1339, 1419, 33, 83, 534a, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 1341, 1415, 34, 86, 0.858834675509, 
1339, 1419, 33, 83, 534a, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 1341, 1415, 34, 86, 0.858834675509, 
1339, 1419, 33, 89, 534a, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 1341, 1415, 34, 86, 0.858928571429, 
1260, 1339, 30, 83, 4e2d, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 1263, 1336, 31, 83, 0.906615715309, 
1260, 1339, 30, 83, 4e2d, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 1263, 1336, 31, 83, 0.906615715309, 
1260, 1339, 30, 86, 4e2d, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 1263, 1336, 31, 83, 0.858047016275, 
250, 321, 16, 100, 653e, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 237, 319, 2, 97, 0.684507042254, 
1970, 2037, 12, 100, 5929, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 1973, 2039, 13, 97, 0.88654353562, 
1970, 2037, 17, 83, 5929, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 1973, 2039, 13, 97, 0.735632183908, 
1970, 2037, 17, 83, 5929, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 1973, 2039, 13, 97, 0.735632183908, 
1657, 1731, 23, 83, 82b3, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 1660, 1728, 24, 95, 0.763318112633, 
1657, 1731, 23, 98, 82b3, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 1660, 1728, 24, 95, 0.86990990991, 
1657, 1731, 24, 83, 82b3, navis-Ming-Qing_19686_0028-line-011-y1=952-y2=1052.xml, 1660, 1728, 24, 95, 0.774218448475, 
2051, 2113, 24, 81, 4ea6, navis-Ming-Qing_19686_0028-line-012-y1=1049-y2=1152.xml, 2053, 2110, 25, 84, 0.861538461538, 
2051, 2113, 24, 82, 4ea6, navis-Ming-Qing_19686_0028-line-012-y1=1049-y2=1152.xml, 2053, 2110, 25, 84, 0.875741239892, 
2051, 2113, 24, 82, 4ea6, navis-Ming-Qing_19686_0028-line-012-y1=1049-y2=1152.xml, 2053, 2110, 25, 84, 0.875741239892, 
728, 800, 31, 86, 5230, navis-Ming-Qing_19686_0028-line-012-y1=1049-y2=1152.xml, 731, 797, 32, 91, 0.830769230769, 
728, 800, 31, 86, 5230, navis-Ming-Qing_19686_0028-line-012-y1=1049-y2=1152.xml, 731, 797, 32, 91, 0.830769230769, 
728, 800, 31, 94, 5230, navis-Ming-Qing_19686_0028-line-012-y1=1049-y2=1152.xml, 731, 797, 32, 91, 0.858465608466, 
1047, 1113, 26, 86, 53E4, navis-Ming-Qing_19686_0028-line-012-y1=1049-y2=1152.xml, 1050, 1109, 27, 91, 0.818096357227, 
1047, 1113, 26, 86, 53E4, navis-Ming-Qing_19686_0028-line-012-y1=1049-y2=1152.xml, 1050, 1109, 27, 91, 0.818096357227, 
1047, 1113, 26, 94, 53E4, navis-Ming-Qing_19686_0028-line-012-y1=1049-y2=1152.xml, 1050, 1109, 27, 91, 0.841354723708, 
2188, 2265, 15, 86, 96c4, navis-Ming-Qing_19686_0028-line-012-y1=1049-y2=1152.xml, 2191, 2262, 16, 90, 0.864197530864, 
493, 559, 31, 79, 6708, navis-Ming-Qing_19686_0028-line-012-y1=1049-y2=1152.xml, 495, 556, 32, 93, 0.712829438091, 
493, 559, 31, 79, 6708, navis-Ming-Qing_19686_0028-line-012-y1=1049-y2=1152.xml, 495, 556, 32, 93, 0.712829438091, 
493, 559, 32, 76, 6708, navis-Ming-Qing_19686_0028-line-012-y1=1049-y2=1152.xml, 495, 556, 32, 93, 0.681045419944, 
573, 640, 41, 86, 6708, navis-Ming-Qing_19686_0028-line-012-y1=1049-y2=1152.xml, 576, 637, 42, 87, 0.872561768531, 
573, 640, 41, 91, 6708, navis-Ming-Qing_19686_0028-line-012-y1=1049-y2=1152.xml, 576, 637, 42, 87, 0.819402985075, 
573, 640, 42, 86, 6708, navis-Ming-Qing_19686_0028-line-012-y1=1049-y2=1152.xml, 576, 637, 42, 87, 0.891990694583, 
883, 945, 22, 86, 539f, navis-Ming-Qing_19686_0028-line-012-y1=1049-y2=1152.xml, 885, 942, 23, 94, 0.811708860759, 
883, 945, 23, 86, 539f, navis-Ming-Qing_19686_0028-line-012-y1=1049-y2=1152.xml, 885, 942, 23, 94, 0.823246217331, 
1493, 1568, 26, 80, 5DFE, navis-Ming-Qing_19686_0028-line-012-y1=1049-y2=1152.xml, 1496, 1565, 27, 77, 0.851851851852, 
1493, 1568, 26, 80, 5DFE, navis-Ming-Qing_19686_0028-line-012-y1=1049-y2=1152.xml, 1496, 1565, 27, 77, 0.851851851852, 
1493, 1568, 26, 80, 5DFE, navis-Ming-Qing_19686_0028-line-012-y1=1049-y2=1152.xml, 1496, 1565, 27, 77, 0.851851851852, 
1416, 1497, 25, 85, 5b57, navis-Ming-Qing_19686_0028-line-013-y1=1149-y2=1251.xml, 1418, 1493, 26, 94, 0.79945799458, 
1416, 1497, 25, 85, 5b57, navis-Ming-Qing_19686_0028-line-013-y1=1149-y2=1251.xml, 1418, 1493, 26, 94, 0.79945799458, 
1416, 1497, 25, 97, 5b57, navis-Ming-Qing_19686_0028-line-013-y1=1149-y2=1251.xml, 1418, 1493, 26, 94, 0.874485596708, 
1036, 1116, 18, 102, 59ca, navis-Ming-Qing_19686_0028-line-013-y1=1149-y2=1251.xml, 1039, 1112, 19, 99, 0.869047619048, 
410, 489, 26, 85, 91CD, navis-Ming-Qing_19686_0028-line-013-y1=1149-y2=1251.xml, 412, 486, 27, 84, 0.904956018022, 
1269, 1341, 21, 85, 5f97, navis-Ming-Qing_19686_0028-line-013-y1=1149-y2=1251.xml, 1272, 1337, 22, 92, 0.808809006518, 
1269, 1341, 21, 95, 5f97, navis-Ming-Qing_19686_0028-line-013-y1=1149-y2=1251.xml, 1272, 1337, 22, 92, 0.853978978979, 
1270, 1341, 21, 85, 5f97, navis-Ming-Qing_19686_0028-line-013-y1=1149-y2=1251.xml, 1272, 1337, 22, 92, 0.819163832767, 
798, 869, 22, 85, 82b3, navis-Ming-Qing_19686_0028-line-013-y1=1149-y2=1251.xml, 801, 865, 23, 97, 0.757107422248, 
881, 951, 15, 94, 57ce, navis-Ming-Qing_19686_0028-line-014-y1=1248-y2=1346.xml, 883, 957, 15, 91, 0.86334781156, 
1193, 1261, 14, 95, 57ce, navis-Ming-Qing_19686_0028-line-014-y1=1248-y2=1346.xml, 1195, 1270, 15, 92, 0.81954523464, 
1193, 1254, 17, 81, 57ce, navis-Ming-Qing_19686_0028-line-014-y1=1248-y2=1346.xml, 1195, 1270, 15, 92, 0.639674741657, 
1964, 2035, 15, 86, 5BA2, navis-Ming-Qing_19686_0028-line-014-y1=1248-y2=1346.xml, 1966, 2032, 16, 83, 0.877206903392, 
1964, 2035, 17, 81, 5BA2, navis-Ming-Qing_19686_0028-line-014-y1=1248-y2=1346.xml, 1966, 2032, 16, 83, 0.890763390974, 
1892, 1963, 21, 81, 6709, navis-Ming-Qing_19686_0028-line-014-y1=1248-y2=1346.xml, 1894, 1960, 22, 94, 0.760844079719, 
411, 482, 28, 81, 91CD, navis-Ming-Qing_19686_0028-line-014-y1=1248-y2=1346.xml, 413, 480, 29, 95, 0.74111891087, 
411, 483, 28, 98, 91CD, navis-Ming-Qing_19686_0028-line-014-y1=1248-y2=1346.xml, 413, 480, 29, 95, 0.877380952381, 
725, 800, 22, 93, 96c4, navis-Ming-Qing_19686_0028-line-014-y1=1248-y2=1346.xml, 727, 796, 23, 90, 0.868169014085, 
652, 723, 17, 81, 66f4, navis-Ming-Qing_19686_0028-line-014-y1=1248-y2=1346.xml, 655, 721, 18, 95, 0.760424286759, 
652, 724, 17, 98, 66f4, navis-Ming-Qing_19686_0028-line-014-y1=1248-y2=1346.xml, 655, 721, 18, 95, 0.871399176955, 
492, 567, 19, 88, 967d, navis-Ming-Qing_19686_0028-line-014-y1=1248-y2=1346.xml, 494, 564, 20, 86, 0.892753623188, 
574, 641, 26, 81, 610F, navis-Ming-Qing_19686_0028-line-014-y1=1248-y2=1346.xml, 577, 638, 27, 94, 0.735596248325, 
574, 641, 26, 97, 610F, navis-Ming-Qing_19686_0028-line-014-y1=1248-y2=1346.xml, 577, 638, 27, 94, 0.859154929577, 
1580, 1651, 22, 76, 624D, navis-Ming-Qing_19686_0028-line-015-y1=1343-y2=1445.xml, 1583, 1648, 22, 73, 0.864632237872, 
1580, 1651, 22, 78, 624D, navis-Ming-Qing_19686_0028-line-015-y1=1343-y2=1445.xml, 1583, 1648, 22, 73, 0.833752515091, 
570, 653, 17, 82, 5922, navis-Ming-Qing_19686_0028-line-015-y1=1343-y2=1445.xml, 573, 650, 18, 83, 0.900584795322, 
570, 653, 17, 82, 5922, navis-Ming-Qing_19686_0028-line-015-y1=1343-y2=1445.xml, 573, 650, 18, 83, 0.900584795322, 
1503, 1578, 13, 98, 82f1, navis-Ming-Qing_19686_0028-line-015-y1=1343-y2=1445.xml, 1506, 1575, 14, 95, 0.876705882353, 
1503, 1578, 17, 85, 82f1, navis-Ming-Qing_19686_0028-line-015-y1=1343-y2=1445.xml, 1506, 1575, 14, 95, 0.782391195598, 
1195, 1264, 10, 90, 6700, navis-Ming-Qing_19686_0028-line-015-y1=1343-y2=1445.xml, 1197, 1265, 11, 88, 0.921743791317, 
1195, 1262, 17, 85, 6700, navis-Ming-Qing_19686_0028-line-015-y1=1343-y2=1445.xml, 1197, 1265, 11, 88, 0.822784810127, 
